我家熊孩子不熊 || 点赞16 || 评论804
黑人问号？＿ ？寂寞的小妖 || 点赞7 || 评论816
刚刚高中毕业去工地应聘。让填履历表，在都在哪里谋职一栏里，我刷刷刷的填上了我曾经的:小学学校，初中学校，高中学校。来工地应聘，我总觉得应该填体力，耐力，持久力什么的啊～西湖醋鱼夹生 || 点赞32 || 评论1067
坏脾气分等级。一句话不对心思就瞪眼睛的，是一级；点火就着河东狮吼的是二级；拍案而起就动手的是三级。你老婆是几级？你能耐受的是几级？贝妞（聪聪） || 点赞61 || 评论7491
跟老妈逛街，老妈相中一款套装，非让我试给她看，，我从试衣间出来后，我妈看着我笑不拢嘴“闺女啊，你说你咋长的一点都不随我，丑死啦”这时售货员过来跟我妈说“阿姨，这是你闺女吧，跟你一模一样。。”我妈的笑容顿时凝固了。。hullhul || 点赞0 || 评论120
太有缘了 在一起独立团团长李云龙 || 点赞82 || 评论3894
刚刚买菜回来，骑着电动车，到了小巷子的拐角。我怕有人，万一撞上了咋办，然后我就按了一下喇叭“滴”了一声，然后那边也“滴”了一声。我就想着先让他过吧。等了一会儿，诶，怎么没人？然后，我慢慢骑着往前，在墙边探出头，然后那个大哥也探出头，我们四目相对。。。傻妞也 || 点赞15 || 评论1978
和女朋友互做“你懂我吗”的游戏，出六个题让对方选择。我先做，错了一题，她摇摇头失望地说：“你并不是百分百了解我。”轮到她做，错了三题，然后她再一次摇头，用更伤心的语气说：“你藏得太深了。”捉女妖的天师 || 点赞19 || 评论2006
酒足饭饱出来结帐时却发现老板居然是多年未见的老同学！俩人就这么寒暄了好一会。他接着我递过去的百元大钞：咋地？看不起老同学？快收回去！看着他一脸严肃的表情，我只好伸出了右手……靠，你倒是松手呀！鲲鹏九天 || 点赞4 || 评论781
秘 书给书 记的讲 话 稿打印了三份。书 记没注意，在会上连念三遍。念完后发现台下人全跑了，忙问咋回事，秘 书说:“他们认为是强调再三，都忙着抓紧落实去了。”918疯狂英子 || 点赞1 || 评论259
大表哥和嫂子在外边逛街。。嫂子走在前面，背着一个小背包，里面塞满了零食，大表嘴馋顺手就想从嫂子包里拿零食吃。就这样嫂子在前面走，大表跟在后边试图拿，眼看零食就要到手了，一只强壮的手从背后一把按住了大表:“兄弟，别这样拿，会被人发现的……”幻想式，幸福 || 点赞9 || 评论1460
跟我老公刚结婚的时候，他躺沙发上睡着了，他头发比较长，然后我就跟他头发扎起来，绑来好大一个粉色可蝴蝶结，他睡醒了以后跑院子里玩，他奶奶从我家门口过，看见了一直笑不过也没告诉他，后来我婆婆看见了边笑边跟他说他才知道，结果就是得亏我跑得快啊王云（笨笨） || 点赞63 || 评论3318
去内蒙古包头旅游，火车上，我好奇的问，为什么这个城市叫“包头”呢？一个包头本地的大哥，告诉我说：当年包头风沙大，经常有沙尘暴，我们出门都要包着头，所以就叫“包头”。王八与蛋 || 点赞7 || 评论1314
春暖花开的季节，许多人带着宠物去踏青赏花，我妈也带着宠物去赏花，人家是秋田犬伏樱花树，我妈是紫荆花树下单身狗儿子相亲……[捂脸]我哟， || 点赞76 || 评论1869
这个必须要火打劫，辣条拿出来 || 点赞9 || 评论260
顺风还招工吗？简单的幸福% || 点赞83 || 评论1549
记得那是二十多年前的事了，当年我刚满十八岁……有一天我小姨到我家里，和我妈妈嘀嘀咕咕聊天，不知道说的什么，下午我妈就让我去帮小姨家栽红薯!我到的时候看到小姨另外找了兄妹俩来帮忙，我也没当回事，就和我小姨嘻嘻哈哈聊天，说的开心极了……直到第二天回家妈妈问我那个男孩子怎么样，我才知道栽红薯是恍子，相亲才是真的!其实我当时都不知道他叫什么名字，但是现在我们在一起二十多年了，当年的腼腆的大男孩现在已经是我儿子的爸爸，孙子的爷爷了!岁月静好，希望余生有你相伴，一直到老……这也是我人生当中唯一的一次相亲………～烟花易冷～滴 || 点赞26 || 评论2467
你说，一天你穿着雪白的羽绒服正在街上美美的走着，突然旁边一个正舔着冰糖葫芦的人碰你一身糖稀，然后冲你销魂的一笑说：试试汰渍新奥妙吧。你会不会揍他？神密巨星…… || 点赞9 || 评论923
舅舅过生日，我起早包好了红包。然后去刷牙洗脸，中午到舅家就拿出红包祝舅舅生日快乐。可是总感觉我的红包是空的，我妈一直怂恿舅舅现场打开看看有多少，是的，红包里是空的，钱被我妈拿走了[大哭][大哭][大哭][大哭][大哭]电鑽 || 点赞91 || 评论2245
转来的 新弯道 拿好方向盘过大年吃饺子 || 点赞0 || 评论230
儿子教我弟的女儿认识时间（时针分针秒针）。。。一个小时之后，儿子沮丧的对我说:大妹真聪明。。。快累死我了。。。最主要的是。。。她还啥都没学会！我想说:儿子，当年你比她还聪明！娜奴娃 || 点赞17 || 评论849
去洗浴中心，谈价钱时发现一个美女的价格比别的都贵。好奇问到：你为什么比别人都贵呢？美女骄傲的说：我是大学生！我擦！大学啥时候开了这门专业的啊？满船清梦压星河～ || 点赞34 || 评论2210
第一次相亲。到了地方，介绍人把我们俩的情况相互介绍了介绍就出去了，留下我们俩单独谈话。那个男的说：刚才介绍人说你23了，我看你不像这么大岁数……我心里暗喜，这是夸我长的年轻啊。没想到他接着说：像你这么大岁数的，谁会穿的这么老土啊！我……匿名用户 || 点赞73 || 评论1694
人心有多可怕？我们从小就是同学，他家境贫寒，小时候打游戏，他没钱，只能在一边看，我买了游戏币会分他一半。再大一些开始有网游了，他在网吧看别人玩，我上网时，他就让我请他上网。平时出去玩，更是我请吃饭，出车费。开始泡妞了，他连跟女孩子出去溜冰，都跟我要钱后来一次发现，他趁我走开，翻我包包拿钱。我就开始疏离他了i江北陈冠希 || 点赞6 || 评论829
开庭的时候法官问：“被告来了吗？”答：“来了！”又问：“那原告呢？”又答“都齐了！”法官华丽丽的说“人都齐啦？那上菜吧！”旁听的满脸黑线！孽畜有种咬我试试 || 点赞0 || 评论266
小时候经常和小伙伴一起在田间烤豆子吃，有一次我在小火堆里翻豆子，我无意中翻到一个两分钱银币，那个硬币应该非常烫，于是我想做弄一下小伙伴，我想让他拾起来，毕竟那时候5分钱能买一个棒棒糖，2分钱也是钱啊，我看小伙伴没发现，我想硬币丢到小伙伴脚边让他捡，结果我脑子没转过弯，自己把硬币捡起来了。于是我悲剧了。考个驾照怎么就这么… || 点赞73 || 评论10785
小宝晚上吵夜，一点过了还不睡，和老公轮流抱着她哄睡觉，过了一会儿没听见声音了，我蹑手蹑脚走过去问老公:“小家伙睡着了？”老公伸手给我做了个👌的手势，“我滴个神啊！终于睡着了！”老公说你高兴得太早了，我的意思是她眼睛睁得有这么👌大！！！林晓九的忧伤哥 || 点赞33 || 评论2001
公司组织野外郊游，我和女同事跟大家走散。时间又有点晚了，女同事：咋办？知道回去的路吗？ 我：有点不记得了，不过你吻我一下估计就想起来了！ 女同事瞅瞅我，一咬牙打开了手机.....我嘿嘿一笑：没用的，这里网络信号不好，用地图不好使！女同事：我打1.1.0匿名用户 || 点赞17 || 评论2189
家有神级老姐一枚，一次陪我去买鞋子！进了一家耐克店，店里有个女店员贝贼漂亮嗯，感觉眼前一亮，于是忽我老姐说 ：这妹子不错！然后老姐居然跑过去跟那妹子说：我儿子说你很漂亮，考虑下啊[诶~]！我：……第四个兵 || 点赞38 || 评论1158
今天儿子老师在群里发消息让交学费，我怕儿子带丢了，便在群里给老师发了一个红包，没想到被哪个手贱的抢跑了，商量了半天退了回来，没等我领，又被那个贱人抢走了！LAO车 || 点赞7 || 评论213
前几天过完年假，又上来广州工作。早上去买早餐，因为16年在那家早餐店买了一年的粥，都是三块一杯的。所以，这次去买的时候，直接给了三块。结果，老板娘说，“美女，现在我们的粥是三块半了。”“去年都是三块，今年第一次买，我不知道啊，不好意思。”老板娘说算了，下次再给三块半吧。从那以后，我每天去都当做不知道的微信转三块，今天，在我刚想微信转三块的时候，被叫住了，“美女，我都给了你几天的缓冲时间了，今天该给三块半了吧”。。。。。。。浅浅一笑恰逢你来 || 点赞55 || 评论1773
昨天第一次健身，早上睡醒浑身都疼，尤其两条腿……“哎呦，你这是怎么了？！”刚进公司，公司里的四十岁离婚并且风韵犹存的张姐就夸张的大叫。“腿疼，尤其大腿根……”“呦，浅浅，找男盆友了吧，年轻人体力就是好啊，吼吼吼，可得注意点啊，你这小身板……怪不得……吼吼吼……你男朋友多大啊？…………………………”宿舍的床 || 点赞8 || 评论1302
邻居们坐在一起聊天，逗我女儿，说她是垃圾堆里捡来的，女儿:骗人，我才不是，我是医生在我妈妈肚子上拉一 刀，把我抱回来的。[大笑]看来剖腹产也不尽然全是坏……L+y=Luck || 点赞49 || 评论4086
女儿五岁了，上幼儿园中班。有一天，放学回来一脸愁容的样子。我问她怎么了，她说：“爸爸，我都不知道跟谁结婚了！其实我可喜欢刘家豪了……可是他嗓子哑了，我根本听不清他说的啥……”[哈哈][哈哈][哈哈]不负如来~不负卿 || 点赞46 || 评论834
来来来，保险圈儿的哥哥姐姐们，咱来聊聊这个险种[机智][机智]我纯洁的笑 || 点赞0 || 评论104
这口狗粮来的措不及防傻晴° || 点赞45 || 评论2190
晚上洗完澡，兴趣来了，对着正在打游戏的老公就是一阵搔首弄姿！谁知老公一把把我推开，拿起手机给我看到:老婆你看，今天我这个星座不能那啥，要克制～我尼 玛～家有大肥猫0 || 点赞21 || 评论1907
一次记者采访贝爷的摄影师 记者:在跟贝爷拍片()的过程中，你有过最吓人的经历是什么？ 摄影师:记得那次我们遇上了十分糟糕的天气，4天都未找到任何食物，在营地休息时，贝爷突然转过来对我微(jian)笑了一下万里归舟入夜时. || 点赞57 || 评论1047
和皇冠上的钻石一样有价值..[机智][机智]风吹屁股蛋子疼 || 点赞19 || 评论7754
大宝刚上幼儿园第一天，我对上大班的外甥女说:“以后你在学校要保护好你弟弟，不要让他被小朋友欺负了！”外甥女郑重的点点头，一副委以重任，踌躇满志的样子。过了几周，外甥女来我家玩，我就问她:“你在学校保护弟弟了吗？”外甥女一脸的沮丧:“弟弟他太可爱了，没人欺负他，我一直没有机会表现！”说完失落的差点掉眼泪。。。喂马，劈柴。 || 点赞23 || 评论241
走路也能摊上事，坐了24小时火车，刚下火车，在火车站附近吃了点东西出来，走路前面一个人说他在掏耳朵，我把他碰了，我也不确定是否碰到了  耳朵部位确实看到血了，要带他去医院，他问我带了多少钱 我说带卡了，他说要取现金，我们就去了 取钱出来 他说家人喝过酒开车带人来了 要我把钱给他赶紧走，墨迹一会把钱两千给他我就走了，回来想想好像有不对的地方 不知道是不是遇到了骗子 ，看样子不像骗子啊 人还蛮好的，哎  这么糗的事谁都对谁说 来上班第一天，不管咋样 希望破财消灾了吧ε仙女姐姐з || 点赞28 || 评论557
我爸问我，你拿个水杯盯着它看什么呢。我：我想让它快点凉我爸：那你再拿个杯，两个杯一折，凉的不是快么我：你不懂，我这是佛系晾水法。它凉或者不凉，我都在这里，不离不弃我妈：你直接说你懒得了。老公你给她折一下，让她赶紧吃药，我这要上班了，等我走了她该不吃了。嗯。。。原来在我妈眼里我是这样的人。。。吃药还用看着。。。没错。。。我就是在逃避吃药。。。吃药卡嗓子怎么破，在线等好吃的焦糖饼干……… || 点赞17 || 评论1416
老公请小李子去按摩。刚到按摩店没多久，小李子看了眼手机，开始坐立不安的，还急着要走……老公问他咋了！小李子：10分钟前，我媳妇问我在哪儿，我回复加班。刚刚，我看到我媳妇撤回了两条信息后，回复我没事了…这是要有大事发生啊……颏傦ミ铭惢 || 点赞33 || 评论759
有个男生追求我，我觉得对方不够帅，也没什么事业心，就拒绝他了，后来把他介绍给了一个闺蜜，没想到他们俩竟然在一起了。今天打电话给闺蜜，想约她出来逛街，发现闺蜜的嗓子哑了，我对闺蜜说：“你用得着这么全心全意对他吗，还咬？”闺蜜：“不是的，我就躺着没动，愣是给喊哑的。[/流鼻血][/流鼻血][/流鼻血]铁锤他老姨 || 点赞75 || 评论8876
买了一盒臭豆腐，坐公交车的时候不小心洒了，蹭在旁边大妈的衣服上，大妈气的受不了，对我说她的衣服是新买的，明天准备参加儿子婚礼的，这下全让我毁了。　　我一再斟酌，最后咬咬牙说道:“好吧，要是害你儿子明天娶不成媳妇，我嫁给他。”　　大妈看了我一眼:“姑娘，你碰瓷的吧？”只如初见-7758… || 点赞4 || 评论159
男人个人都是演员，演技都能得影帝。真爱一个女人和只是想上她，一般女人难分清！哎呀我的肥皂掉了 || 点赞14 || 评论894
记得我们第一次约会，一起吃凉皮，我有点不知所措，本来想淑女一些..然后，夹起凉皮，吹了吹!挖鼻孔的老虎 || 点赞88 || 评论4334
好尴尬。下班路上遇到多年不见的老同学，他拉着我上他家喝茶叙旧。走进他家刚关上门，他老婆戴着兔耳朵光着膀子从房间跳了出来。相思.痴心情长剑 || 点赞32 || 评论1304
去昆明玩，买了两串星月菩提。卖货的大妈告诉是清仓，价格低的超乎想象。听说这东西越盘颜色越好，lz几乎每天放在手上把玩。还别说，两个月就初见成效，现在不光星星看不见了，连月亮都盘没了……姑苏云琪 || 点赞70 || 评论4268
一个人出差住宾馆，开的大床房，房间里有免费提供的TT，我寻思不要白不要，就揣兜里了。出门吃饭，吃完饭发现忘了带钱包，然后就掏兜，当我从兜里掏出两个TT的时候，饭店老板愣了愣说：妹纸，大哥我是正经人。colourful… || 点赞1 || 评论120
这就是青春啊巾帼英雄小木兰 || 点赞25 || 评论4316
男朋友第一次上我家的时候，我亲自下厨炒了几个菜，男朋友一直赞不绝口，动情的说:真想这辈子都能吃到你做的菜！我爸瞟了一眼淡淡的说:咋滴，想让我闺女侍候你一辈子啊！伺候不爽你弄死我 || 点赞18 || 评论1153
今天接到我弟媳妇的电话，电话一通她自己先笑得上气不接下气的。断断续续的我大概听明白了：我弟前几天在武汉外环开车，堵车时尿在脉动瓶子里放车上忘了扔。今天天气热，一边开车一边顺手拿起来喝了一口，结果足足吐了半个多小时... ...挖鼻孔的老虎 || 点赞96 || 评论8299
阳台飞来了几只白色的小蝴蝶，其中有一只特别活跃，一会儿跟一只玩，一会儿又飞去找另一只玩。老婆举起拖鞋“啪”的把它打了下来，对着它说：“你个渣男！”动物园里的猴 || 点赞60 || 评论4329
带女友回家，老妈在厨房做饭，我跟女友在客厅里打闹，玩游戏的侄子跑过来给冲着我的脸“啪”就是一巴掌大吼“你敢打我婶婶，我就打死你。。”打完我他扭过头笑嘻嘻对一脸懵 逼的女友说“婶儿，我叔再欺负你跟我说，我替你报仇，，那个，婶儿，下次来时别忘了多买点芒果来。。”我……百年万达 || 点赞4 || 评论218
糗吗，，，，自行车在小区楼下放着没锁，以为被偷了，便报警了，，，，，隔了一天，才知道是物业维持秩序推走了，，，，，，好尴尬，，，，，古道西风晒吗？ || 点赞69 || 评论3590
早上在洗手间，正爽着的时候，门外来了俩清洁阿姨问：里面有没有人？我果断回了句：有！然后俩阿姨就进来了……白百丽儿 || 点赞13 || 评论940
早上换衣服的时候，老公就瞅准机会拿他冰冷的咸猪手戳我。“冰！”我怒吼道！结果这货说：“哪个斌？一大早就呼唤哪个贱人！”黑线…雨雾茶吻 || 点赞23 || 评论938
昨天愚人节！白天我穿的旗袍然后自己盘了个发！没事拍了几张照片！晚上无聊把照片发朋友圈！然后配的文字是“终于结完这个婚了！累死了”结果手机到半夜都没安宁过！被家里亲人朋友都训了一顿！唉！说多了都是泪啊！满船清梦压星河～ || 点赞44 || 评论3959
和老公生气，跑去跟闺蜜诉苦，闺蜜听后跟我说:是啊，男人就是烦，总是不听话！我那男人也是，让他往东偏要往西，还记得前两天我过生日吗，让他不要送礼物，浪费钱！他偏要买，你看我脖子上这条项链就是他送的，好几千呢，太浪费了，心疼死我了～我……再见了，我先走了……丨撕丶夜丿 || 点赞14 || 评论421
这套路深得……鲲鹏九天 || 点赞10 || 评论1826
老师: “今天咱们教室丢了个石 膏 雕像，八点半之前丢的，当时你们在不在呢?” 多数学生说:“不在!”。老师:“ 那好，班长把不在的全部记迟到!”  学生们:“ ……?驯猴师 || 点赞100 || 评论4946
把我哥拽我屋里说“借我五百块钱。。”我哥摇着头说真没有，我说借我五百，发工资了还你六百，，我哥小声说“说话算数。。”我用力点点头，，然后我哥出去了，不一会儿拿着一千五进来递给我说“记得还我一千八，千万别让你嫂子知道了。。”嫂子从衣柜里钻出来接过我手里钱，数了六百递给我“拿去花，不用还！！”我哥好多天了也不理我[捂脸][捂脸]偷惢 || 点赞31 || 评论1354
和姐姐吵架，我输了，躲进房间想了一大堆反击她的话。走出房间没来得及开口，她对我说：“咱们别像泼妇那样吵了，来打一架。”帝国守卫 || 点赞35 || 评论1591
公司老板的司机被开除了！听说那天他送老板出去吃饭，说有点事，老板就让他先走。吃完饭，老板又去另一个地方待了会，回家打了一个专车，然后他看到了自己的司机开着自己的车来接自己了！那场面，太特么尴尬了！请你吃辣条呀！ || 点赞42 || 评论1165
刚点进群聊，就看到他们在吹嘘自己粉丝多，有说八百的，有说过千的！我不屑的说了一句“切，我一个粉丝快过万的人我说什么了吗？”然后大家各种夸我，鱼姐好棒哦～直到其中一个小新人问我“鱼姐那你到底几万粉丝阿？”我“哦…还差九千多点就一万了…”星星之火, || 点赞4 || 评论569
儿子:爸爸，你什么时候上白班呀？爸爸：下个月开始！怎么啦？儿子：我怕，晚上不敢睡觉.....爸爸：怕什么呢？儿子：有老鼠！爸爸：老鼠有什么好怕的，我在家时不照样有老鼠吗？儿子：可这老鼠跟平时的不一样！他往往趁你上夜班时就老骚扰我们......爸爸：不会吧？难道这老鼠怕爸爸？儿子：应该是吧？这老鼠只要你不在家他会自己开门，会自己上床，还会把床摇得嘎吱嘎吱响呢....爸爸：是吗？那你有见过这老鼠长什么样吗？儿子：没见过！只要这老鼠一敲门我就不敢睁开眼睛了，我怕你不相信我看见的..…『寒星月』 || 点赞7 || 评论762
儿子玩剩的摔炮放我兜了。早晨食堂刚煮熟的鸡蛋烫手，顺手就装兜了。炸了！炸了！炸了！同事们都问谁把碗打了。我没好意思说。沐莘 || 点赞36 || 评论1150
昨天跟老公啪啪完，我顺手把这个月的零花钱给他。然后这货说，感觉自己像在做鸭子一样，我慌忙从里面抽出五张来，就你这没颜值没身材的鸭子哪里值这个钱。这下好了，这货还跟我冷战中。风吹屁股蛋子疼 || 点赞67 || 评论4940
同事小李对女朋友太抠了，吃饭都aa制，结果女朋友和他吹了！小王吸取了教训，对自己女朋友异常大方，还经常硬拉着女朋友去吃大餐！没过多久，女朋友也和他分手了，小王喝醉了酒感叹:她居然嫌弃我不会过日子……瘦西湖畔-容嬷嬷 || 点赞0 || 评论117
不要讲有多辛苦，想想自己的目标。道士下山会女神 || 点赞44 || 评论3146
晚上在外吃过饭搭女同事的车回家，对面车道一道远光射过来，女同事骂道：尼玛，只管自己舒服，就不顾别人的感受。话音一落，我都觉得不好意思，女同事还继续没羞没臊的补充道：你别笑，跟你们男人干那事一个德性。王云（笨笨） || 点赞33 || 评论1157
刚到单位，看到走廊上一个女的跟主任在吵架。女的背对着我，我不知道是谁。一看主任被欺负了，那我能袖手旁观吗？我气呼呼的就过去了！我大吼一声：你这个不知死活的……女人一回头，艾玛，主任老婆！我立刻小声嘀咕了一声：……的…的漂亮女人！然后转身就跑。十里柔情一帘幽梦 || 点赞35 || 评论1683
前晚做头发到十一点多，店里只剩我和一个发型师，他女朋友开始夺命连环call，发型师不断解释：我给大姐做完头发就回去！他女朋友不依：大半夜孤男寡女，做什么头发？发型师无奈，打开视频对着我：真在做头发！他女朋友看到我后，噗嗤笑了：长这样啊，你早打开视频我不就放心了吗？我。。。我能给钱算我脾气好！我家熊孩子不熊 || 点赞11 || 评论1218
我包饺子，儿子在一旁硬磨软缠要“帮忙”，实在拗不过他我就说：“包吧包吧，你包的你吃，可别反悔。”儿子包好一个奇形怪状的饺子后自己看着都害怕，他告诉我“爸爸肯定会帮我吃！”然后拿着饺子屁颠屁颠跑到房间，刚喊出一声“爸爸”，老公瞄他一眼就进了厕所。熊孩子一脸失望地说道：“唉！没想到我爸爸宁愿吃屎都不愿吃我包的饺子……”曾是超人的男子、 || 点赞7 || 评论217
说个小时候的事儿~小时候跟球队一起去青岛集训，有一次周末休息跟几个伙伴儿出去玩，到中午的时候肚子饿了，就找了个驴肉饺子馆吃饭。当时点的什么吃的有点记不得了，反正当时我们结账的时候都是大伙凑的钱。旁边有一桌客人说看这帮小孩儿真可怜，然后叫老板给我们加了两屉驴肉蒸饺，帐算到他们桌。当时感觉挺糗的，不过这也证明这个社会还是有好人的～盗仙心～ || 点赞25 || 评论1871
公司聚餐，吃的是辣子鸡，漂亮性感的李姐在锅里翻了下，抱怨道:今天这个菜，怎么都是公鸡！！我看着锅里一小块一小块鸡肉惊恐道:这鸡都被剁成这样了，你都还认的出公母？？全场鸦雀无声！吃了两碗又盛 || 点赞22 || 评论1106
女同事拿出一个笔记本，看起来要写什么，她在抽屉里翻翻，又到包里找找，最后甚至掀起裙子看了看，嘴里不停地说:我的笔呢？我的笔呢？所有人瞬间都邪恶了！夢也何曾到谢桥 || 点赞8 || 评论969
弟弟跟我诉苦，“姐，我无意间发现女朋友用Q Q勾 搭别人了”“你俩感情不是挺好的吗？”“是啊，可能是我太忙了忽略了她”“那你们打算怎么办？”“还能怎么办？当然是选择原谅她啦，毕竟她没看到我的陌 陌聊天记录”“滚，打车滚！”1枪独挑千万菊 || 点赞17 || 评论1138
我呀，出差半来月回家，晚上回去以后呢我媳妇提前下班了，老早在家等着我说到，老公快快快，今天你就往死折磨我。这可是你说的，别怪我不是人。那行，你来把你就。说完以后呢，我就抱着被子和枕头到客厅睡了，我就往死里折磨你。邯有你不孤郸。 || 点赞34 || 评论314
说东方不败得到了葵花宝典，，心中万分高兴，，打开第一页，赫然写着：“欲练此功，必先自宫”，东方不败想了许久，，终于为了成为天下第一，，忍痛割“爱”了，，但是他被那巨痛疼得晕了过去，，当他醒来，欣然翻开第二页，他看到后气得卡血，，第二页写着：“就算自宫，未必成功”，他还是忍住疼痛与心痛，，骤然翻开第三页，，他一看，马上就气得吐血而亡，，原来，第三页上写着：“不必自宫，也能成功”。姑苏云琪 || 点赞15 || 评论798
五岁的儿子从幼儿园回来，老师布置了二十道算术题，儿子磨磨唧唧的，就是不写。我说：你快点！快！儿子说：我不是爸爸！跑呀！跑不掉了吧～… || 点赞27 || 评论1072
偷偷地申请了个支 付 宝，私房钱都放在里面，女友一直不知道我还有个支付宝，昨天晚上，堂哥朋友圈更新了一条动态，晒了支付宝运动的图，我支 付 宝赫然上榜，最重要的是，他还备注了！最最重要的是，那条朋友圈下面我女友点了个赞，而且还截图发了给我！爱我就宠我， || 点赞32 || 评论960
还说同学，昨天说借我二百块钱，今天还，我发给他了，他居然说是愚人节，我被骗了，这种同学我要你何用，还不如一些从未见过糗友守信用花七七… || 点赞12 || 评论1163
老婆头上新添几根白发，心酸楚，跟了我真是委屈她了啊！做好饭时，偷偷藏有鸡腿藏的那碗饭放她面前。她用筷子划拉几下盘子里的鸡肉，恶狠狠地对我说：“特么的鸡腿让狗吃了吧……”饮最烈的酒、艹最爱… || 点赞24 || 评论407
听说……芊芊她跟老公啪啪啪的时候，她老公没进去的时候，她就叫了，然后她老公低声怒道：“还没开始了，叫个毛。”芊芊弱弱的说：这么冷的天，你开车不得先预热预热啊！颜小回 || 点赞23 || 评论772
在这个世界上已经没有比买中国队输球更稳的投资项目了……偷惢 || 点赞19 || 评论1732
家里平时老爸做饭，今晚老爸加班，家里只有我跟老妈。她也不知道咋想的非要包饺子，兴致勃勃的剁馅，和面，包完之后，看了半天，然后告诉我:闺女，咱俩出去吃吧！老妈，你这么调皮真的好吗？……道士下山会女神 || 点赞54 || 评论4283
站在自家小店门口，见人行道上一猥琐男尾随一美女，罪恶之手伸向美女挎包……瞬间无数见义勇为的场景涌现大脑，楼主头一热，三步并作两步冲上前去，一把抓住小偷的手，大吼一声：你干啥？美女听见动静，转过身来，一脸懵逼的问小偷：老公咋啦？福永小松发 || 点赞48 || 评论1106
我表哥，取老婆，彩礼16.5万，两年跑了，据说女的一怀孕就去打掉，这算不算骗婚调皮的小汪汪 || 点赞0 || 评论107
6狗   溜溜狗穿裤头去打醋 || 点赞6 || 评论429
就刚才，地铁上我旁边坐了个女孩子，靠车门很近，上车就把脚丫子露出来了，估计走热了晾一下，问题你差不多了你就穿好鞋得了，四五站过去了，没点反应，还一直在那玩手机。 到了一个站点，我左手边的一个男生，可能意识到自己该下车了，猛的起身，往车门口跑，跑的太慌张，没注意到脚下，将门口这位姑娘的一只鞋顺带踢出去了，等姑娘反应过来准备往外追的时候，车门已经关上了，那男的手里拿着鞋傻站在外面！后续具体的我就不知道了，只看到这女生下一站一高一低的走出了地铁，准备坐反向的车了，或许这就是缘分吧，但是那男的是挨打还是…偷情贼 || 点赞10 || 评论890
